"model","quantile","score","umcb","cmcb","mcb","dsc","unc","pval_cond","pval_ucond"
"BPagano-RtDriven",0.25,13.2,0.0547086648628472,1.50136444459661,1.55607310945946,21.0214864864865,32.6110810810811,0.01,4.87294090282078e-09
"BPagano-RtDriven",0.5,18.5,0.162809848648649,1.50231535405405,1.6651252027027,40.8005405405405,57.6421621621622,0.01,5.62872594343164e-17
"BPagano-RtDriven",0.75,19.7,0.453331999990535,1.56829146352298,2.02162346351351,48.8698648648649,66.4678378378378,0.01,6.61795678891555e-41
"COVIDhub-baseline",0.25,19.3,-1.61648472385423e-12,2.90827702702864,2.90827702702703,16.2004054054054,32.6110810810811,0.01,1
"COVIDhub-baseline",0.5,22.3,0.00648648643900529,1.58729729734478,1.59378378378378,36.8967567567568,57.6421621621622,0.01,0.592842161988746
"COVIDhub-baseline",0.75,21,0.0158108107899864,1.35699324326407,1.37280405405405,46.9139189189189,66.4678378378378,0.02,0.0694393920770949
"COVIDhub-ensemble",0.25,12.2,0.0702702701945075,1.32094594602171,1.39121621621622,21.7959459459459,32.6110810810811,0.01,1.72704769056393e-07
"COVIDhub-ensemble",0.5,16.6,0.0632432431655445,1.23162162169932,1.29486486486486,42.2956756756757,57.6421621621622,0.01,1.35406422575426e-05
"COVIDhub-ensemble",0.75,16.1,0.0191891891526836,1.16932432436083,1.18851351351351,51.5763513513513,66.4678378378378,0.01,0.0617064268879437
"JHUAPL-Bucky",0.25,19.4,0.299746495395272,2.27455147265551,2.57429796805078,15.7989189189189,32.6110810810811,0.01,5.26357531995271e-28
"JHUAPL-Bucky",0.5,26.7,0.024945613984535,2.49438493072977,2.5193305447143,33.4486486486487,57.6421621621622,0.01,0.00014946278953442
"JHUAPL-Bucky",0.75,27.3,0.0306725794264295,2.14706843956917,2.1777410189956,41.2521621621622,66.4678378378378,0.01,0.00572048497375924
"KITmetricslab-select_ensemble",0.25,12.4,0.000403044756049908,1.00869440872583,1.00909745348188,21.2454054054054,32.6110810810811,0.01,0.517689118311722
"KITmetricslab-select_ensemble",0.5,16.9,0.00439830367856686,1.26861779496113,1.2730160986397,41.9589189189189,57.6421621621622,0.01,0.156107344751138
"KITmetricslab-select_ensemble",0.75,16.7,0.0150190871646529,1.2565858220053,1.27160490916996,51.1252702702703,66.4678378378378,0.01,0.00916295711842386
"RobertWalraven-ESG",0.25,15.2,0.0029432432409493,1.57502027027256,1.57796351351351,18.9802702702703,32.6110810810811,0.01,0.215947175131526
"RobertWalraven-ESG",0.5,20.9,0.144718918918922,2.02347297297297,2.16819189189189,38.7562162162162,57.6421621621622,0.01,2.11767522653196e-13
"RobertWalraven-ESG",0.75,21.6,0.585059459416108,2.69823513517849,3.28329459459459,48.2090540540541,66.4678378378378,0.01,6.20679336005489e-46
"SteveMcConnell-CovidComplete",0.25,14.1,0.000540540534647249,1.47901351351941,1.47955405405405,19.9798648648649,32.6110810810811,0.01,0.70990470664581
"SteveMcConnell-CovidComplete",0.5,20.6,0.0735135131675122,1.50540540575141,1.57891891891892,38.6186486486487,57.6421621621622,0.01,1.35406422575426e-05
"SteveMcConnell-CovidComplete",0.75,22.7,0.00170270269828521,1.28087837838279,1.28258108108108,45.1485135135135,66.4678378378378,0.01,0.421506027617801
"UCSD_NEU-DeepGLEAM",0.25,18.4,1.72079442561411,2.28963801310888,4.01043243872298,18.1841891891892,32.6110810810811,0.01,3.50783317819203e-126
"UCSD_NEU-DeepGLEAM",0.5,21.3,0.389330589934374,2.17711073925635,2.56644132919073,38.9275675675676,57.6421621621622,0.01,2.90343717642596e-36
"UCSD_NEU-DeepGLEAM",0.75,25.9,2.61279476277717,5.04498818189168,7.65778294466885,48.1716216216216,66.4678378378378,0.01,3.18641878375067e-43
